,dataset,game_id,date,player_id,player,position,home_team,away_team,venue,starter,minutes,field_goals,field_goals_attempts,3_point,3_point_attempts,free_throw,free_throw_attempts,offensive_rebound,defensive_rebound,total_rebound,assists,personal_fouls,steals,turnovers,blocks,points,usage_rate,days_rest
0,NBA 2021-2022 Regular Season,22100001,10-19-2021,201142.0,Kevin Durant,F,Brooklyn,Milwaukee,R,Y,30.25,13.0,25.0,3.0,7.0,3.0,6.0,0.0,11.0,11.0,4.0,2.0,0.0,1.0,2.0,32.0,42.82621825284334,3+
1,NBA 2021-2022 Regular Season,22100001,10-19-2021,201933.0,Blake Griffin,F,Brooklyn,Milwaukee,R,Y,22.98,2.0,5.0,0.0,1.0,2.0,2.0,1.0,4.0,5.0,0.0,1.0,1.0,1.0,0.0,6.0,13.542551792033388,3+
2,NBA 2021-2022 Regular Season,22100001,10-19-2021,1629651.0,Nic Claxton,F-C,Brooklyn,Milwaukee,R,Y,24.17,6.0,9.0,0.0,0.0,0.0,3.0,0.0,7.0,7.0,0.0,3.0,0.0,0.0,0.0,12.0,19.313684744368672,3+
3,NBA 2021-2022 Regular Season,22100001,10-19-2021,203925.0,Joe Harris,G-F,Brooklyn,Milwaukee,R,Y,30.77,3.0,9.0,3.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,9.0,16.170642661939482,3+
4,NBA 2021-2022 Regular Season,22100001,10-19-2021,201935.0,James Harden,G,Brooklyn,Milwaukee,R,Y,30.63,6.0,16.0,4.0,8.0,4.0,4.0,3.0,5.0,8.0,8.0,3.0,1.0,4.0,2.0,20.0,32.134680442950824,3+
5,NBA 2021-2022 Regular Season,22100001,10-19-2021,201988.0,Patty Mills,G,Brooklyn,Milwaukee,R,N,29.37,7.0,11.0,7.0,7.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,21.0,16.94145981300231,3+
6,NBA 2021-2022 Regular Season,22100001,10-19-2021,200794.0,Paul Millsap,F,Brooklyn,Milwaukee,R,N,5.22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,8.665459329639113,3+
7,NBA 2021-2022 Regular Season,22100001,10-19-2021,200746.0,LaMarcus Aldridge,C-F,Brooklyn,Milwaukee,R,N,15.7,0.0,2.0,0.0,0.0,1.0,4.0,0.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,13.71416567231904,3+
8,NBA 2021-2022 Regular Season,22100001,10-19-2021,1628975.0,Jevon Carter,G,Brooklyn,Milwaukee,R,N,18.95,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,9.548010068752754,3+
9,NBA 2021-2022 Regular Season,22100001,10-19-2021,201949.0,James Johnson,F,Brooklyn,Milwaukee,R,N,20.72,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,6.287309332918078,3+
10,NBA 2021-2022 Regular Season,22100001,10-19-2021,1627761.0,DeAndre' Bembry,G-F,Brooklyn,Milwaukee,R,N,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3+
11,NBA 2021-2022 Regular Season,22100001,10-19-2021,1630560.0,Cam Thomas,G,Brooklyn,Milwaukee,R,N,3.75,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,46.80179922100766,3+
12,NBA 2021-2022 Regular Season,22100001,10-19-2021,1628971.0,Bruce Brown,G-F,Brooklyn,Milwaukee,R,N,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3+
13,NBA 2021-2022 Regular Season,22100001,10-19-2021,203114.0,Khris Middleton,F,Milwaukee,Brooklyn,H,Y,30.95,8.0,17.0,1.0,4.0,3.0,4.0,0.0,9.0,9.0,3.0,3.0,1.0,1.0,0.0,20.0,25.557130709649197,3+
14,NBA 2021-2022 Regular Season,22100001,10-19-2021,203507.0,Giannis Antetokounmpo,F,Milwaukee,Brooklyn,H,Y,30.95,12.0,25.0,1.0,4.0,7.0,9.0,5.0,9.0,14.0,7.0,4.0,1.0,4.0,2.0,32.0,42.62970790435411,3+
15,NBA 2021-2022 Regular Season,22100001,10-19-2021,201572.0,Brook Lopez,C,Milwaukee,Brooklyn,H,Y,28.17,3.0,9.0,2.0,4.0,0.0,0.0,2.0,3.0,5.0,0.0,3.0,1.0,0.0,3.0,8.0,12.78914377423074,3+
16,NBA 2021-2022 Regular Season,22100001,10-19-2021,1628960.0,Grayson Allen,G,Milwaukee,Brooklyn,H,Y,27.72,3.0,10.0,3.0,10.0,1.0,1.0,0.0,4.0,4.0,6.0,0.0,2.0,0.0,0.0,10.0,15.076241303726292,3+
17,NBA 2021-2022 Regular Season,22100001,10-19-2021,201950.0,Jrue Holiday,G,Milwaukee,Brooklyn,H,Y,17.72,5.0,7.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,12.0,15.813213323555054,3+
18,NBA 2021-2022 Regular Season,22100001,10-19-2021,1626192.0,Pat Connaughton,G,Milwaukee,Brooklyn,H,N,29.97,8.0,13.0,4.0,9.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,20.0,17.363705711493125,3+
19,NBA 2021-2022 Regular Season,22100001,10-19-2021,201588.0,George Hill,G,Milwaukee,Brooklyn,H,N,23.35,0.0,3.0,0.0,2.0,1.0,2.0,2.0,3.0,5.0,3.0,5.0,0.0,1.0,1.0,1.0,8.366017030625699,3+
20,NBA 2021-2022 Regular Season,22100001,10-19-2021,203648.0,Thanasis Antetokounmpo,F,Milwaukee,Brooklyn,H,N,12.4,2.0,3.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,6.0,12.5255223912716,3+
21,NBA 2021-2022 Regular Season,22100001,10-19-2021,1629670.0,Jordan Nwora,F,Milwaukee,Brooklyn,H,N,26.47,6.0,13.0,3.0,6.0,0.0,0.0,0.0,6.0,6.0,1.0,3.0,1.0,1.0,1.0,15.0,21.17190329379642,3+
22,NBA 2021-2022 Regular Season,22100001,10-19-2021,1630572.0,Sandro Mamukelashvili,F-C,Milwaukee,Brooklyn,H,N,7.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.694170698910701,3+
23,NBA 2021-2022 Regular Season,22100001,10-19-2021,1629620.0,Justin Robinson,G,Milwaukee,Brooklyn,H,N,4.02,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.91543284245882,3+
24,NBA 2021-2022 Regular Season,22100001,10-19-2021,1630686.0,Georgios Kalaitzakis,F,Milwaukee,Brooklyn,H,N,1.27,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,63.03940159581453,3+
25,NBA 2021-2022 Regular Season,22100002,10-19-2021,203952.0,Andrew Wiggins,F,Golden State,LA Lakers,R,Y,25.73,5.0,10.0,2.0,5.0,0.0,0.0,1.0,6.0,7.0,1.0,3.0,1.0,2.0,0.0,12.0,18.169956743606186,3+
26,NBA 2021-2022 Regular Season,22100002,10-19-2021,203110.0,Draymond Green,F,Golden State,LA Lakers,R,Y,29.93,2.0,5.0,0.0,0.0,2.0,4.0,3.0,5.0,8.0,6.0,3.0,1.0,5.0,0.0,6.0,15.307809130395164,3+
27,NBA 2021-2022 Regular Season,22100002,10-19-2021,1626172.0,Kevon Looney,F,Golden State,LA Lakers,R,Y,15.47,3.0,5.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,7.0,17.326488637413007,3+
28,NBA 2021-2022 Regular Season,22100002,10-19-2021,1629673.0,Jordan Poole,G,Golden State,LA Lakers,R,Y,25.07,8.0,18.0,4.0,11.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,20.0,31.764278202850207,3+
29,NBA 2021-2022 Regular Season,22100002,10-19-2021,201939.0,Stephen Curry,G,Golden State,LA Lakers,R,Y,36.18,5.0,21.0,2.0,8.0,9.0,9.0,1.0,9.0,10.0,10.0,1.0,3.0,4.0,0.0,21.0,31.18476161759744,3+
30,NBA 2021-2022 Regular Season,22100002,10-19-2021,202357.0,Nemanja Bjelica,F,Golden State,LA Lakers,R,N,25.92,6.0,7.0,1.0,1.0,2.0,2.0,2.0,9.0,11.0,4.0,2.0,1.0,1.0,0.0,15.0,13.347207190957189,3+
31,NBA 2021-2022 Regular Season,22100002,10-19-2021,2738.0,Andre Iguodala,G-F,Golden State,LA Lakers,R,N,22.97,4.0,7.0,2.0,5.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,12.0,13.365267514375043,3+
32,NBA 2021-2022 Regular Season,22100002,10-19-2021,1627814.0,Damion Lee,G-F,Golden State,LA Lakers,R,N,29.07,4.0,10.0,1.0,5.0,6.0,6.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,15.0,16.940041726419437,3+
33,NBA 2021-2022 Regular Season,22100002,10-19-2021,1629308.0,Juan Toscano-Anderson,F,Golden State,LA Lakers,R,N,12.38,2.0,3.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,15.357184818412604,3+
34,NBA 2021-2022 Regular Season,22100002,10-19-2021,203490.0,Otto Porter Jr.,F,Golden State,LA Lakers,R,N,11.58,1.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,5.0,16.41813022901106,3+
35,NBA 2021-2022 Regular Season,22100002,10-19-2021,1630541.0,Moses Moody,G,Golden State,LA Lakers,R,N,5.57,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,20.98352724474807,3+
36,NBA 2021-2022 Regular Season,22100002,10-19-2021,1627780.0,Gary Payton II,G,Golden State,LA Lakers,R,N,0.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.66179653679654,3+
37,NBA 2021-2022 Regular Season,22100002,10-19-2021,2544.0,LeBron James,F,LA Lakers,Golden State,H,Y,36.75,13.0,23.0,5.0,11.0,3.0,6.0,1.0,10.0,11.0,5.0,5.0,1.0,4.0,1.0,34.0,32.16607049599501,3+
38,NBA 2021-2022 Regular Season,22100002,10-19-2021,203076.0,Anthony Davis,F-C,LA Lakers,Golden State,H,Y,38.92,15.0,26.0,1.0,5.0,2.0,7.0,2.0,9.0,11.0,2.0,0.0,1.0,0.0,2.0,33.0,29.79879648481755,3+
39,NBA 2021-2022 Regular Season,22100002,10-19-2021,201599.0,DeAndre Jordan,C,LA Lakers,Golden State,H,Y,12.92,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0868437000659528,3+
40,NBA 2021-2022 Regular Season,22100002,10-19-2021,203145.0,Kent Bazemore,G-F,LA Lakers,Golden State,H,Y,30.62,3.0,9.0,2.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,1.0,1.0,8.0,13.024827108050982,3+
41,NBA 2021-2022 Regular Season,22100002,10-19-2021,201566.0,Russell Westbrook,G,LA Lakers,Golden State,H,Y,35.13,4.0,13.0,0.0,4.0,0.0,0.0,1.0,4.0,5.0,4.0,4.0,0.0,4.0,0.0,8.0,19.29958298555325,3+
42,NBA 2021-2022 Regular Season,22100002,10-19-2021,200765.0,Rajon Rondo,G,LA Lakers,Golden State,H,N,19.82,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,3.0,0.0,3.0,14.085476500200038,3+
43,NBA 2021-2022 Regular Season,22100002,10-19-2021,2546.0,Carmelo Anthony,F,LA Lakers,Golden State,H,N,26.07,3.0,9.0,2.0,4.0,1.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,1.0,0.0,9.0,16.6442801757112,3+
44,NBA 2021-2022 Regular Season,22100002,10-19-2021,1628370.0,Malik Monk,G,LA Lakers,Golden State,H,N,18.73,2.0,5.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,6.0,12.775874192691544,3+
45,NBA 2021-2022 Regular Season,22100002,10-19-2021,2730.0,Dwight Howard,C-F,LA Lakers,Golden State,H,N,12.82,1.0,2.0,0.0,0.0,3.0,4.0,0.0,6.0,6.0,0.0,2.0,0.0,2.0,0.0,5.0,17.918910973786904,3+
46,NBA 2021-2022 Regular Season,22100002,10-19-2021,202340.0,Avery Bradley,G,LA Lakers,Golden State,H,N,8.23,2.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,6.0,19.383728119004665,3+
47,NBA 2021-2022 Regular Season,22100003,10-20-2021,203200.0,Justin Holiday,F-G,Indiana,Charlotte,R,Y,25.72,4.0,10.0,1.0,7.0,2.0,2.0,1.0,6.0,7.0,4.0,3.0,0.0,0.0,0.0,11.0,17.420785162208293,3+
48,NBA 2021-2022 Regular Season,22100003,10-20-2021,1627734.0,Domantas Sabonis,F-C,Indiana,Charlotte,R,Y,39.32,13.0,19.0,4.0,6.0,3.0,4.0,3.0,12.0,15.0,2.0,4.0,0.0,6.0,0.0,33.0,28.02737302851286,3+
49,NBA 2021-2022 Regular Season,22100003,10-20-2021,1626167.0,Myles Turner,C-F,Indiana,Charlotte,R,Y,25.82,3.0,6.0,1.0,3.0,2.0,4.0,1.0,6.0,7.0,1.0,4.0,0.0,4.0,4.0,9.0,18.756891993405592,3+
50,NBA 2021-2022 Regular Season,22100003,10-20-2021,1630537.0,Chris Duarte,G,Indiana,Charlotte,R,Y,32.72,9.0,15.0,6.0,9.0,3.0,3.0,0.0,5.0,5.0,1.0,4.0,1.0,1.0,0.0,27.0,21.79939227706058,3+
51,NBA 2021-2022 Regular Season,22100003,10-20-2021,1627763.0,Malcolm Brogdon,G,Indiana,Charlotte,R,Y,40.3,8.0,20.0,3.0,10.0,9.0,9.0,0.0,4.0,4.0,11.0,2.0,0.0,1.0,1.0,28.0,25.506409546793016,3+
52,NBA 2021-2022 Regular Season,22100003,10-20-2021,1628470.0,Torrey Craig,F,Indiana,Charlotte,R,N,27.78,1.0,4.0,1.0,4.0,2.0,2.0,3.0,5.0,8.0,3.0,4.0,0.0,1.0,1.0,5.0,8.71675578239259,3+
53,NBA 2021-2022 Regular Season,22100003,10-20-2021,203087.0,Jeremy Lamb,G-F,Indiana,Charlotte,R,N,24.23,1.0,9.0,1.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,3.0,18.69601573345804,3+
54,NBA 2021-2022 Regular Season,22100003,10-20-2021,204456.0,T.J. McConnell,G,Indiana,Charlotte,R,N,24.12,3.0,7.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,7.0,1.0,1.0,1.0,2.0,6.0,13.659112354038546,3+
55,NBA 2021-2022 Regular Season,22100003,10-20-2021,202330.0,Gordon Hayward,F,Charlotte,Indiana,H,Y,35.25,10.0,22.0,2.0,4.0,5.0,8.0,0.0,5.0,5.0,3.0,3.0,1.0,3.0,0.0,27.0,30.608247699283627,3+
56,NBA 2021-2022 Regular Season,22100003,10-20-2021,1628970.0,Miles Bridges,F,Charlotte,Indiana,H,Y,32.95,4.0,8.0,1.0,4.0,4.0,4.0,1.0,7.0,8.0,4.0,4.0,3.0,3.0,1.0,13.0,14.650192216798352,3+
57,NBA 2021-2022 Regular Season,22100003,10-20-2021,203486.0,Mason Plumlee,F-C,Charlotte,Indiana,H,Y,32.45,4.0,10.0,0.0,0.0,0.0,3.0,4.0,6.0,10.0,5.0,3.0,0.0,0.0,1.0,8.0,13.197139065435817,3+
